delta_t (s),Velocity X (m/s),Velocity Y (m/s)
8.702278137207031e-05,-9.6,2.54
0.0033636093139648438,-8.69,2.3
0.006589651107788086,-7.52,1.99
0.00976252555847168,-6.2,1.65
0.012992143630981445,-4.75,1.26
0.016400575637817383,-3.21,0.85
0.031262874603271484,-3.11,-0.65
1.0283114910125732,-3.76,-2.81
2.031332015991211,-3.14,-4.88
3.0400545597076416,-0.95,-6.61
4.0488505363464355,1.53,-7.25
5.0517847537994385,4.03,-6.98
6.0606982707977295,6.24,-5.85
7.057744741439819,7.83,-4.14
8.060696601867676,8.81,-2.12
9.057812452316284,9.15,-0.36
10.031641244888306,7.9,0.24
11.040398359298706,6.03,0.23
12.031685590744019,3.57,0.17
13.040469408035278,0.77,0.09
14.037741899490356,-0.17,0.06
15.040523767471313,-0.26,0.05
16.031866312026978,-0.19,0.04
17.04064965248108,-0.11,0.04
18.037860870361328,-0.06,0.03
19.040796995162964,-0.05,0.02
20.03204083442688,-0.05,0.02
21.04077672958374,-0.04,0.01
22.032188177108765,-0.04,0.01
23.04087495803833,-0.03,0.01
24.032342672348022,-0.03,0.01
25.041083335876465,-0.02,0.01
26.032336235046387,-0.02,0.01
27.041123867034912,-0.02,0.01
28.03243136405945,-0.02,0.01
29.04115653038025,-0.01,0.01
30.032519578933716,-0.01,0.01
31.04125165939331,-0.01,0.01
32.032596588134766,-0.01,0.01
33.0413339138031,-0.01,0.01
34.032668352127075,-0.01,0.02
35.04149770736694,-0.01,0.01
