delta_t (s),Velocity X (m/s),Velocity Y (m/s)
3.218650817871094e-05,-0.49,-0.5
2.765655517578125e-05,-1.89,-2.67
2.5033950805664062e-05,-2.16,-4.6
2.7179718017578125e-05,0.07,-5.65
2.6226043701171875e-05,2.35,-6.07
2.574920654296875e-05,4.7,-5.46
2.5987625122070312e-05,6.77,-4.05
2.6702880859375e-05,8.22,-2.05
3.719329833984375e-05,8.82,0.23
4.267692565917969e-05,8.69,2.48
2.5987625122070312e-05,8.0,4.53
2.5510787963867188e-05,7.13,6.1
2.6702880859375e-05,6.31,7.18
2.574920654296875e-05,5.58,7.87
2.5987625122070312e-05,4.46,7.61
2.5510787963867188e-05,3.4,6.05
2.6702880859375e-05,2.07,4.04
2.5987625122070312e-05,0.67,1.59
4.649162292480469e-05,-0.12,0.08
2.6464462280273438e-05,-0.21,-0.18
2.5510787963867188e-05,-0.14,-0.17
2.6464462280273438e-05,-0.05,-0.11
4.482269287109375e-05,0.01,-0.06
2.6226043701171875e-05,0.04,-0.04
2.47955322265625e-05,0.03,-0.04
2.6226043701171875e-05,0.03,-0.03
2.7894973754882812e-05,0.02,-0.02
4.553794860839844e-05,0.02,-0.02
2.765655517578125e-05,0.02,-0.01
2.5033950805664062e-05,0.02,0.0
