Time (s),Velocity X (m/s),Velocity Y (m/s)
3.6716461181640625e-05,0.01,-0.02
2.4080276489257812e-05,-1.45,-1.51
2.4318695068359375e-05,-2.61,-3.7
2.4080276489257812e-05,-1.34,-5.2
2.4557113647460938e-05,0.83,-6.19
2.4080276489257812e-05,3.23,-6.18
2.47955322265625e-05,5.58,-5.3
2.384185791015625e-05,7.46,-3.65
2.3365020751953125e-05,8.58,-1.48
2.4318695068359375e-05,8.92,0.83
2.4080276489257812e-05,8.62,3.03
2.4557113647460938e-05,7.88,4.92
2.5987625122070312e-05,7.22,6.17
2.4557113647460938e-05,6.35,7.21
6.198883056640625e-05,5.52,7.97
2.7179718017578125e-05,4.58,8.59
2.3126602172851562e-05,3.64,9.06
4.315376281738281e-05,2.71,9.4
2.5987625122070312e-05,1.76,9.64
2.4080276489257812e-05,0.82,9.77
2.4557113647460938e-05,-0.09,9.73
2.9325485229492188e-05,-0.28,8.16
2.574920654296875e-05,-0.47,6.03
2.5510787963867188e-05,-0.46,3.42
2.3126602172851562e-05,-0.22,0.67
2.5033950805664062e-05,-0.07,-0.18
2.4080276489257812e-05,-0.01,-0.27
2.956390380859375e-05,-0.01,-0.19
2.6226043701171875e-05,-0.01,-0.1
2.4557113647460938e-05,-0.01,-0.05
2.3365020751953125e-05,0.0,-0.03
2.8133392333984375e-05,0.0,-0.03
2.4318695068359375e-05,0.0,-0.03
2.4080276489257812e-05,0.0,-0.02
2.5033950805664062e-05,0.0,-0.01
3.504753112792969e-05,0.0,-0.01
3.4332275390625e-05,0.0,0.0
